accession_id,obs_unit_id,CL,DTF1,DTF2,DTF3,Diameter,Length,RBN,RL
9394,21862,14.66666667,99.75,104.25,110.5,17.33333333,43.33333333,4.666666667,77.33333333
9395,21863,24.75,97.0,101.75,118.25,17.0,38.5,4.0,63.66666667
9405,21864,21.0,86.0,90.25,95.5,14.5,29.0,0.0,57.66666667
9409,21865,18.0,115.0,120.5,119.25,17.0,40.0,11.0,
9413,21866,8.5,63.33333333,68.66666667,75.0,16.0,48.0,1.0,32.0
9416,21867,15.0,110.0,116.0,129.0,15.0,43.0,2.0,
9421,21868,16.75,89.5,94.25,103.0,,41.0,3.0,65.25
9436,21869,12.5,63.0,67.75,77.5,15.0,46.0,1.0,32.0
9437,21870,15.0,78.25,83.5,90.0,13.5,41.0,0.0,52.5
9442,21871,14.0,99.25,104.25,113.25,12.0,36.0,4.0,64.0
9450,21872,10.0,70.5,75.5,78.5,18.0,38.0,1.0,56.25
9452,21873,16.75,90.5,95.5,103.0,21.0,29.0,0.0,68.0
